year,total,postive,negative
1986,0.0009593023255813954,0.0005232558139534884,0.00010658914728682171
1987,0.0006298449612403101,0.0004166666666666667,7.751937984496124e-05
1988,0.0006298449612403101,0.00035852713178294575,9.689922480620155e-05
1989,0.0006395348837209303,0.0003682170542635659,7.751937984496124e-05
1990,0.0006007751937984496,0.000310077519379845,9.689922480620155e-05
1991,0.0005717054263565892,0.00035852713178294575,6.782945736434109e-05
1992,0.0005329457364341085,0.0003779069767441861,5.8139534883720933e-05
1993,0.0005717054263565892,0.00035852713178294575,8.72093023255814e-05
1994,0.0005523255813953489,0.0003294573643410853,8.72093023255814e-05
1995,0.00042635658914728686,0.0002422480620155039,5.8139534883720933e-05
1996,0.0004166666666666667,0.00021317829457364343,5.8139534883720933e-05
1997,0.0005717054263565892,0.00028100775193798454,0.00012596899224806202
1998,0.0005717054263565892,0.000310077519379845,0.0001744186046511628
1999,0.0005329457364341085,0.0003391472868217054,6.782945736434109e-05
2000,0.0006589147286821706,0.00039728682170542636,8.72093023255814e-05
2001,0.0009108527131782946,0.0005426356589147287,0.00010658914728682171
2002,0.0009108527131782946,0.0005232558139534884,0.00010658914728682171
2003,0.000939922480620155,0.0005813953488372093,7.751937984496124e-05
2004,0.0008914728682170543,0.0005426356589147287,5.8139534883720933e-05
2005,0.0009689922480620156,0.0005523255813953489,0.00014534883720930232
2006,0.0006395348837209303,0.0003391472868217054,9.689922480620155e-05
2007,0.0006104651162790698,0.00029069767441860465,0.00014534883720930232
2008,0.0005717054263565892,0.0003003875968992248,0.00011627906976744187
2009,0.000746124031007752,0.00046511627906976747,7.751937984496124e-05
2010,0.0006589147286821706,0.0003779069767441861,8.72093023255814e-05
2011,0.0008042635658914729,0.00046511627906976747,0.00011627906976744187
2012,0.0011531007751937985,0.0006782945736434108,0.00018410852713178296
2013,0.0013372093023255815,0.0007848837209302326,0.00023255813953488373
2014,0.001501937984496124,0.0009108527131782946,0.00022286821705426357
2015,0.0017538759689922482,0.001056201550387597,0.00027131782945736437
2016,0.0020348837209302325,0.0012306201550387598,0.0004166666666666667
